순번,시군구명,주소,상세위치,거치대 유무,lat,lon
1,종로구,팔판동 115-63 ,청와대 춘추문 맞은편,Y,37.583192,126.979949
2,종로구,연건동 218-1,KT 광화문 혜화지사 앞,Y,37.5784056,126.9999208
3,종로구,연건동 178-3 ,홍익대학교 대학로 맞은편,Y,37.5784056,126.9999208
4,종로구,동숭동 1-24,대학로 마로니에 공원 앞,Y,37.58096,127.0051932
5,종로구,와룡동 75-4,연악사 맞은편,Y,34.9657143,127.4464876
6,종로구,명륜4가 96-4,흥사단 동숭 미술관 맞은편,Y,37.58214,126.99977
7,종로구,소격동 165-5,국립현대미술관 ,Y,37.57962,126.98073
8,종로구,신문로1가 5-4 ,새문안교회 앞,Y,37.57017,126.97417
9,종로구,신문로 2가 58,(구)경찰박물관 앞,Y,37.569012,126.969669
10,종로구,무악동 41-7 ,무악현대아파트 앞,Y,37.57672,126.95812
11,종로구,사직동 45-4 ,사직공원 맞은편,Y,37.5738317,126.9703028
12,종로구,내자동 186-3 ,서울경찰청 민원봉사실 앞,Y,37.57522,126.97146
13,종로구,적선동 8-1 ,경복궁역 4번출구 근처,Y,37.5751085,126.9735739
14,종로구,세종로 84-8 ,광화문역 2번 출구 근처,Y,37.5757452,126.9766915
15,종로구,공평동 100-19 ,종각역 2번 출구 근처,Y,37.57144,126.98279
16,종로구,서린동 26-1 ,종각역 5번 출구 근처,Y,37.56925,126.97959
17,종로구,종로2가 84-11 ,YBM 어학원 앞,Y,37.5709125,126.9882267
18,중구,중구 을지로 178,을지로4가역 9~10번 출구,Y,37.5650384,127.0106899
19,중구,중구 을지로 2가 206,IBK파이낸스타워 출입구 앞,Y,37.56576,126.987097
20,중구,중구 을지로 42,을지로입구역 7번 출구,Y,37.5657472,127.0088521
21,중구,중구 을지로 50,을지로입구역 6번 출구,Y,37.5650384,127.0106899
22,용산구,이태원동 127-6,이태원역 3번출구,Y,37.53842,126.992
23,용산구,용문동 5-157,효창공원앞역 5번출구,Y,37.5380978,126.9586211
24,용산구,갈월동 92,남영삼거리 (용산빌딩 앞),Y,37.54487,126.9715441
25,용산구,용산구 갈월동 69-29,숙대입구역 10번출구,N,37.54487,126.9715441
26,성동구,홍익동 614-1,상왕십리역 1번출구,Y,37.5660138,127.0327281
27,성동구,성수동1가 656-302,뚝섬역 1번출구,Y,37.548109,127.045647
28,성동구,옥수동 401-1,옥수역 1번출구,Y,37.54176,127.01648
29,성동구,금호동4가 1470-1,금호역 3번출구,Y,37.54479,127.02339
30,성동구,금호동3가 1583,금호역 4번출구,Y,37.54998,127.02213
31,성동구,행당동 산17,한양대역 3번출구,Y,37.555578,127.043585
32,광진구, 자양동 854,자양역 1번출구 인근,N,36.3366812,127.4490374
33,동대문구,장안동 416-10,창도빌딩 앞(지하철 환풍구 옆 가로등 가로수 사이),N,37.57105,127.06806
34,동대문구,답십리동 497-23,천호대로 257 청계푸르지오시티오피스텔 앞,N,37.57002,127.05467
35,동대문구,신설동 98-32,신설동역 5번출구 뒤 자전거보관대 옆(파리바게트 앞),N,37.573478,127.0257068
36,동대문구,휘경동 255-4,회기로 195 셰계주류마켓 앞 보도,N,37.58773,127.06526
37,동대문구,전농동 687,도미노피자 전농점 앞,N,37.5806,127.05543
38,동대문구,전농동 591-53,청량리역광장 서울청년센터 동대문오랑 앞,N,37.5806,127.05543
39,동대문구,이문동 329-1,스타벅스 외대정문점 앞,N,37.60021,127.06124
40,동대문구,전농동 295-53,우리은행 전농동지점 앞,N,37.5806,127.05543
41,동대문구,장안동 307-6,투썸플레이스 장안동 사거리점 앞,N,37.57105,127.06806
42,동대문구,휘경동 267-10,에스오일주유소 앞 따릉이대여소 옆,N,37.58773,127.06526
43,동대문구,전농동 103-340,시티프라자 앞,N,37.58396,127.053614
44,동대문구,용두동 47-1,LG전자베스트샵 주차장 앞 보도,N,37.57616,127.03476
45,동대문구,장안동 368-1,아트몰링 장안점 앞,N,36.2128102,127.3437761
46,동대문구,전농동 10,베스킨라빈스 전농점 앞,N,37.5788299,127.0436848
47,중랑구,중화동 73-7,중랑역 2번출구 ,Y,37.59755,127.07783
48,성북구,성북구 석관동 375-54,석계역 7번출구 우측,Y,37.60789,127.06116
49,성북구,성북구 월곡2동 37-4,월곡역 3번 출구 좌측,Y,37.602357,127.04188
50,성북구,성북구 종암동 3-1288,종암박스파크 북서측,Y,37.6022615,127.0372646
51,성북구,길음동 877-66,길음역 3번 출구 뒷편,N,37.6085308,127.0201946
52,강북구,수유동  230-10,수유역  5번  출구  앞,N,37.6352212,127.0090642
53,강북구,미아동  125-33,미아역  4번  출구  앞,N,37.628995,127.0257543
54,강북구,미아동  134-39,이디야커피 미아중앙점 앞,N,37.628995,127.0257543
55,강북구,미아동  160-14,얼맥당  수유점  앞,N,37.628995,127.0257543
56,강북구,번동  418-9,수유역  1번  출구  앞,N,37.62929,127.03684
57,강북구,미아동  190-1,아름다운가게  미아점  앞,N,37.628995,127.0257543
58,강북구,번동  449-1,롯데시네마  수유관  앞,N,37.62929,127.03684
59,강북구,수유동  183-4,청년치킨  수유점  앞,N,37.6352212,127.0090642
60,도봉구,창동 723-11,창동 메가박스 앞,Y,37.64643,127.04326
61,도봉구,쌍문동 83-4,크로커다일 앞,Y,37.65347,127.02715
62,도봉구,방학동 710,평화도봉공원,Y,37.66442,127.03333
63,노원구,화랑로 510,화랑대역 2번출구 앞,N,37.6351249,127.1056449
64,노원구,공릉로 232,서울과학기술대 정문 앞(좌),N,37.6185271,127.0786546
65,노원구,공릉로 232,서울과학기술대 정문 앞(우),N,37.6185271,127.0786546
66,노원구,동일로 1078,공릉역 1번출구 노랑통닭 앞,N,37.6280766,127.0724137
67,노원구,하계동 273-3,하계 어린이 공원,N,37.63793,127.07251
68,노원구,동일로 1015,스타벅스 공릉DT점,N,37.5625654,127.0755865
69,노원구,동일로 1308-1,중계역 2번출구,N,37.6280766,127.0724137
70,노원구,상계동 611-1,노원역 운전면허시험장 사거리(1),N,37.66727,127.07242
71,노원구,상계동 611-1,노원역 운전면허시험장 사거리(2),N,37.66727,127.07242
72,노원구,동일로 1530-1,마들역 5번출구,N,37.5625654,127.0755865
73,노원구,동일로 1673,수락산역 4번출구 파크랜드 앞,N,37.5625654,127.0755865
74,노원구,동일로 1608,채선당 도시락&샐러드 마들점,N,37.6266136,127.0727539
75,노원구,동일로 1530-1,마들역 8번출구 우리은행 앞,N,37.5625654,127.0755865
76,노원구,노해로 502,KT 노원지사 스타벅스 앞 ,N,37.6542529,127.0637454
77,노원구,동일로 1308-1,중계역 5번출구,N,37.6280766,127.0724137
78,노원구,상계로 301-1,당고개역 뒤 사나포차 앞,N,37.6703795,127.0789203
79,노원구,월계동 56-5,석계역 광장 따릉이 옆,N,37.6289,127.0567
80,노원구,석계로 98-2,광운대역 앞 스타벅스 앞,N,37.6236565,127.0614432
81,노원구,동일로 1014,골드퍼피 동물메디컬 센터 앞,N,37.6280766,127.0724137
82,노원구,동일로 1074,공릉역 3번출구 따릉이 옆,N,37.5625654,127.0755865
83,노원구,동일로 1074,공릉역 4번출구 스타벅스 앞,N,37.5625654,127.0755865
84,노원구,동일로 1114,수협은행 공릉점 앞,N,37.5625654,127.0755865
85,노원구,동일로 1196,하계역 1번출구 인근,N,37.5625654,127.0755865
86,노원구,동일로 1196,하계역 6번출구 따릉이 옆,N,37.5625654,127.0755865
87,노원구,노해로 507,와우쇼핑몰 앞,N,37.6519117,127.0380784
88,노원구,동일로 1456,온수골 사거리 주공 715동 앞,N,37.5311143,127.0576993
89,노원구,동일로242길 5 ,수락문 평양칼국수 앞,N,37.6744976,127.061057
90,노원구,공릉동 678-1,태릉입구역 1 ~2번출구 현대자동차 앞,N,37.63021,127.08818
91,노원구,중계동 434-1,상계동 뚜레주르 앞,N,37.64802,127.07678
92,노원구,상계로23가길 24,상계중앙시장 앞 따릉이 옆 (상계역삼창프라자건너편),N,37.6588016,127.069831
93,노원구,동일로 1662,수락산역 3번출구  르노코리아 상계대리점 앞,N,37.5921413,127.0801521
94,노원구,중계동 503-3,중계역 4번출구 ,N,37.64802,127.07678
95,노원구,노해로 452,노원역 6번출구 탑티어커피 앞,N,37.6519117,127.0380784
96,노원구,하계동 284-2,하계역 2번출구,N,37.63793,127.07251
97,노원구,하계동 284-2,하계역 3번출구,N,37.63793,127.07251
98,은평구,은평구 녹번동 282,녹번동 282,N,37.60395,126.93437
99,은평구,은평구 불광동 274-12,불광동 274-12,N,37.6160647,126.9339579
100,서대문구,신촌로 93,2호선신촌역 2번출구,N,37.3049981,127.1153428
101,마포구,대흥동 105-47,대흥역 1번출구 앞,N,36.3227747,127.4254193
102,마포구,성산동 592-6,마포구청역 2번출구 앞,N,37.56775,126.90263
103,마포구,아현동 329-15,아현역 4번출구,N,37.5505624,126.9525116
104,마포구,망원동 377-18,망원역2번출구(이니스프리앞),N,37.55586,126.90087
105,마포구,공덕동 255-10,공덕역 5번 출구(엘리베이터앞),N,37.549927,126.9592897
106,마포구,창전동 146-6,광흥창역 5번 출구 인근(한국조폐공사앞),N,37.55007,126.92938
107,마포구,노고산동 57-2,신촌역 7번출구 계단뒷편 스파오앞,N,37.553881,126.937312
108,마포구,아현동 607-1,애오개역 4번 출구(화단앞),N,37.5505624,126.9525116
109,마포구,대흥동 2-6,이대역 5번 출구(화단앞),N,36.3227747,127.4254193
110,마포구,성산동 266-1,마포구청역 4번 출구(LG전자앞),N,37.56775,126.90263
111,마포구,합정동 472,마포한강푸르지오앞,N,37.54678,126.9084
112,마포구,서교동 490,합정역9번출구,N,37.5550711,126.9238244
113,마포구,서교동 490,합정역10번출구,N,37.5550711,126.9238244
114,마포구,동교동 155-27,효성홍익인간오피스텔 (홍익대입구역3번),N,37.5571419,126.9261901
115,마포구,동교동 167-29,다이소 (홍익대입구역4번),N,37.8530026,127.1234208
116,마포구,동교동 166-13,홍익대입구역8번출구,N,37.5571419,126.9261901
117,양천구,목동동로 151,서울출입국 외국인청 입구,Y,37.5258593,126.8756888
118,양천구,신정동 322-3,햇빛문고 앞,Y,35.53487,129.31199
119,양천구,신정동 322-4,양천문화회관 앞,Y,35.53487,129.31199
120,양천구,신정동 324-4,한사랑교회 앞,Y,35.53487,129.31199
121,강서구,마곡동 727-1222,발산역 8번 출구,Y,37.566575,126.826243
122,강서구,마곡동 727-1428,마곡역 3번출구,N,37.566575,126.826243
123,강서구,마곡동 728-163,마곡역 6번 출구,Y,37.559524,126.825453
124,강서구,마곡동 721-4,마곡역 5번 출구,Y,37.566575,126.826243
125,강서구,마곡동 799,마곡역 4번 출구,Y,37.566575,126.826243
126,강서구,마곡중앙5로 6,마곡나루역 1번 출구,Y,37.5674441,126.8179485
127,강서구,마곡중앙5로 6,나루역 2번 출구,Y,37.5674441,126.8179485
128,강서구,마곡동 767,마곡광장 입구,Y,37.566575,126.826243
129,강서구,마곡동 728-190,마곡나루역 4번 출구,Y,37.559322,126.827402
130,강서구,마곡동 727-1221,발산역 1번 출구/출구 바로 앞 따릉이 거치대 맞은편,Y,37.566575,126.826243
131,강서구,등촌동 673,"발산역 3,4번 출구 사이/출구 사이 엘리베이터 측면",Y,37.5498936,126.86025
132,강서구,등촌동 673-1,발산역 4번 출구/자전거 거치대 끝나는 부근,Y,37.5498936,126.86025
133,강서구,화곡로 416,가양역 7번출구,N,37.5600482,126.8553445
134,강서구,등촌동 78-7,가양역 8번 출구 앞,Y,37.5498936,126.86025
135,강서구,등촌동 666-2,"가양역 6, 7번 출구 사이",Y,37.5498936,126.86025
136,강서구,등촌동 648-4,등촌역 1번 출구,Y,37.5498936,126.86025
137,강서구,가양동 449-30,증미역 1번 출구,Y,37.5663502,126.8525524
138,강서구,가양동 449-30,증미역 2번 출구,Y,37.5663502,126.8525524
139,강서구,가양동 449-30,"증미역 1,2번 출구 사이",Y,37.5663502,126.8525524
140,강서구,마곡동 727-1428,마곡역 1번 출구,Y,37.566575,126.826243
141,강서구,공항대로 163 지하,마곡역 2번 출구,Y,37.560198,126.825548
142,강서구,방화동 830-8,방화역 1번 출구,Y,37.57682,126.81422
143,강서구,공항대로 571,등촌역 3번 출구 부근,Y,37.5492127,126.869045
144,강서구,등촌동 505-3,등촌역 8번 출구,Y,37.5498936,126.86025
145,강서구,마곡동 767-3,마곡나루역 5번 출구,Y,37.566575,126.826243
146,강서구,마곡동 776-2,양천향교역 8번 출구,Y,37.566575,126.826243
147,구로구,구로동 603-13,구로역3번출구  앞,Y,37.4945849,126.8845477
148,구로구,신도림동 347-20,신도림역1번출구  앞,Y,37.50941,126.88285
149,구로구,구로동 188-15,구로G밸리비즈플라자  앞,Y,37.4945849,126.8845477
150,금천구,시흥동 113-82,금천구청 M타워 인근,Y,37.41911,127.10186
151,금천구,가산동 714-2,독산역 2번 출구 인근,Y,37.4753253,126.8863954
152,금천구,가산동 670-2 ,대륭테크노 18차  앞,Y,37.4753253,126.8863954
153,금천구,가산동 60-5 ,갑을그레이트밸리  앞,Y,37.4753253,126.8863954
154,금천구,가산동 50-3, 대륭포스트타워6  앞,Y,37.4753253,126.8863954
155,금천구,독산동 1099, 한신아파트 앞,Y,37.468399,126.8979571
156,금천구,독산동 1160-5, 롯데캐슬 앞,Y,37.468399,126.8979571
157,금천구,가산동 677, 가산디지털 엠파이어 앞,Y,37.4753253,126.8863954
158,금천구,가산동 670-2, 대륭테크노타운18차 앞,Y,37.4753253,126.8863954
159,금천구,가산동 371-27, 롯데택배 앞,Y,37.4753253,126.8863954
160,금천구,가산동 60-35, 수출의 다리 하부,Y,37.4753253,126.8863954
161,금천구,가산동 60-35,현대아울렛 앞,Y,37.4753253,126.8863954
162,금천구,독산동 996-9,문성초등학교 앞,Y,37.468399,126.8979571
163,금천구,독산동 995-6,독산3동 주민센터 앞,Y,37.468399,126.8979571
164,금천구,가산동 60-15,가디역 6번 출구 뒤편,N,37.4753253,126.8863954
165,금천구,가산동 757,독산역 2번 출구 인근,N,37.4753253,126.8863954
166,금천구,시흥동 1020,금천구청 따릉이 대여소 인근,N,37.4507049,126.9085555
167,금천구,시흥동 984,금천고버스정류장 (18534) 인근,N,37.4507049,126.9085555
168,동작구,본동  344-10,노들역 1번 출구 측면,N,35.8354002,128.5397293
169,동작구,상도동  511,숭실대입구 3번출구 ,N,37.4988159,126.9441045
170,동작구,대방동  356-2,공군호텔 버스정류소(20107) 인근,N,37.5067997,126.9291349
171,관악구,봉천동 869-1,서울대입구역 4번 출구 인근,N,37.484665,126.9484961
172,관악구,남부순환로 1805,서울대입구역 5번 출구 인근,N,37.4817657,126.9508411
173,관악구,남부순환로 1900,낙성대입구 교차로 인근,N,37.4780276,126.9602729
174,관악구,남부순환로 1950,낙성대역 버스정류소 주변,N,37.4760765,126.9654052
175,관악구,남부순환로 1710,봉천역 3번 출구 인근,N,37.5515691,126.8171981
176,서초구,서초동 1374,대륭서초타워 앞,N,37.48818,127.01751
177,서초구,서초동 1374,현대렉시온 앞,N,37.48818,127.01751
178,서초구,서초동 1375,샐러디 양재역점 앞,N,37.48818,127.01751
179,서초구,서초동 1720-11,대검찰청 건너편,N,37.48818,127.01751
180,서초구,서초동 1582-12,교대입구 삼거리,N,37.48818,127.01751
181,서초구,잠원동 87-1,논현역 8번출구,N,37.5182544,127.0124028
182,서초구,반포동 706-8,논현역 6번출구,N,37.50312,127.0014
183,서초구,반포동 18-1,신반포역 3번출구,N,37.50312,127.0014
184,서초구,방배동 3160,총신대입구역 2번출구,N,37.4798789,126.9939103
185,서초구,서초동 1673-11,교대역 1번출구,N,37.48818,127.01751
186,서초구,서초동 1748-17,서초역 1번출구,N,37.48818,127.01751
187,서초구,서초동 1715-15,교대역 10번출구,N,37.48818,127.01751
188,서초구,서초동 1541-43,서초역 4번출구,N,37.48818,127.01751
189,서초구,서초동 1732-11,서초역 5번출구,N,37.48818,127.01751
190,서초구,서초동 1542-1,서초역 2번출구,N,37.48818,127.01751
191,서초구,서초동 1374,삼성화재 서초사옥 앞,N,37.48818,127.01751
192,서초구,반포동 749-18,신논현역 2번출구,N,37.50312,127.0014
193,서초구,서초동 1321-40,강남빌딩 앞,N,37.48818,127.01751
194,서초구,서초동 711-4,예술의 전당 앞,N,37.48818,127.01751
195,서초구,서초동 산 150-124,국립국악원 앞,N,37.477679,127.008549
196,서초구,서초동 산 150-124,국립국악원 앞,N,37.477679,127.008549
197,서초구,서초동 산 150-124,국립국악원 앞,N,37.477679,127.008549
198,서초구,서초동 1445-17,남부터미널역 4-1번 출구,N,37.48818,127.01751
199,서초구,서초동 1445-17,남부터미널역 4번출구,N,37.48818,127.01751
200,서초구,서초동 1655-6,서울교대 앞,N,37.48818,127.01751
201,서초구,서초동 1598-4,교대사거리,N,37.48818,127.01751
202,서초구,서초동 1748-38,서초3동 사거리,N,37.48818,127.01751
203,서초구,반포동 117-3,고속터미널 5번출구,N,37.50312,127.0014
204,서초구,반포동 128-6,반포역 2번출구,N,37.50312,127.0014
205,서초구,반포동 19-3,고속터미널역 8번출구,N,37.50312,127.0014
206,서초구,방배동 1823,이수역 1번출구,N,37.4798789,126.9939103
207,서초구,방배동 438-34,이수역 6번출구,N,37.4798789,126.9939103
208,서초구,방배동 874-16,내방역 6번출구,N,37.4798789,126.9939103
209,서초구,방배동 149,내방역 3번출구,N,37.492494,126.986453
210,서초구,방배동 444-9,사당역 13번출구,N,37.4798789,126.9939103
211,서초구,서초동 1375,양재역 2번출구,N,37.48818,127.01751
212,서초구,양재동 13-4,양재역 7번출구,N,37.46838,127.0361
213,서초구,양재동 24,양재역 9번출구,N,37.4672523,127.0426457
214,서초구,서초동 1376-8,양재역 10번출구,N,37.48818,127.01751
215,서초구,서초동 1366-12,양재역 1번출구,N,37.48818,127.01751
216,서초구,양재동 67-10,교육개발원 입구 사거리,N,37.46838,127.0361
217,서초구,양재동 20-41,교육개발원 입구 사거리,N,37.46838,127.0361
218,서초구,양재동 237-2,양재시민의숲역 1번출구,N,37.46838,127.0361
219,서초구,서초동 1377-1,서초1교,N,37.48818,127.01751
220,서초구,서초동 1418,서초3교,N,37.48818,127.01751
221,서초구,양재동 232,AT센터 앞,N,37.46838,127.0361
222,서초구,서초동 1319-1,강남역 7번출구,N,37.48818,127.01751
223,서초구,서초동 1319-1,강남역 8번출구,N,37.48818,127.01751
224,서초구,반포동 30-5,사평역2번 출구,N,37.50312,127.0014
225,강남구,논현동 119,강남구청역 3번 출구,N,37.5123018,127.0294935
226,강남구,논현동 88-1,학동역 9번 출구,N,37.5123018,127.0294935
227,강남구,삼성동 1,강남구청역 1번 출구,N,37.5071958,127.0483701
228,강남구,삼성동 145,삼성중앙역 5번 출구,N,37.4633268,126.9292176
229,강남구,삼성동 52,청담역 6번 출구,N,37.4633268,126.9292176
230,강남구,신사동 501-2,신사역 7번 출구,N,37.5223206,127.0277019
231,강남구,역삼동 679-5,역삼역 8번 출구,N,37.49988,127.03856
232,강남구,청담동 41-2,강남구청역 4번 출구,N,37.5257536,127.0523217
233,강남구,청담동 76-4,청담역 9번 출구,N,37.5257536,127.0523217
234,강남구,압구정로 161,강남관광정보센터 앞,N,37.5268064,127.0270828
235,강남구,압구정로 206,와이비엠에듀 지사 앞,N,37.5306167,127.0351634
236,강남구,압구정로 342,언더아머 압구정점 앞,N,37.529064,127.0354179
237,강남구,도산대로 138,우리은행 신사동프리미엄금융센터 앞,N,37.5175083,127.0237433
238,강남구,도산대로 318 ,SBS타워 앞,N,37.5219491,127.0363271
239,강남구,학동로 165,마일스디오빌 본죽 비빔밥 앞,N,37.5137213,127.0288307
240,강남구,학동로 170 ,KT매장 앞,N,37.5120112,127.0241112
241,강남구,논현로 704,학동역 8번 출구,N,37.498287,127.0381392
242,강남구,논현로 665,학동역 4번 출구,N,37.4812131,127.0432689
243,강남구,학동로 171,학동역 6번 출구,N,37.5140546,127.0295625
244,강남구,강남대로 566,신영와코루빌딩 앞,N,37.5120708,127.0207086
245,강남구,강남대로 536,"논현역 3번 출구, 자생한방병원 앞",N,37.5007544,127.0264297
